Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sales_Tax,Total_Amount
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,104.26428000000001,2189.54988
NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,189.55326000000002,3980.61846
FDV20,12.857645184135976,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,139.88458,2937.57618
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,80.49522,1690.39962
FDX10,12.857645184135976,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,19.408070000000002,407.56947
FDB34,12.857645184135976,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,109.02475,2289.51975
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,171.7764,3607.3044
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,107.5267,2258.0607
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,126.36884,2653.74564
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,338.42614000000003,7106.94894
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,18.67569,392.18949
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,1998,Medium,Tier 3,Grocery Store,358.2004,17.91002,376.11042
NCP05,19.6,Low Fat,0.06613202877895108,Health and Hygiene,153.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,2428.8384,121.44192000000001,2550.2803200000003
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Medium,Tier 2,Supermarket Type1,5815.0972,290.75486,6105.85206
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,128.8323,2705.4783
FDS02,12.857645184135976,Regular,0.255394896,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,39.01588,819.33348
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,156.72932000000003,3291.31572
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,42.54462,893.43702
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,40.54722,851.49162
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Medium,Tier 2,Supermarket Type1,3121.2704,156.06352,3277.33392
NCP18,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,2007,Medium,Tier 2,Supermarket Type1,4815.0656,240.75328000000002,5055.81888
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,312.92600000000004,6571.446000000001
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117.244,105.86220000000002,2223.1062
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,39.84813,836.8107299999999
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,245.51375,5155.78875
FDI26,12.857645184135976,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,44.6086,936.7806
FDM20,10.0,Low Fat,0.06613202877895108,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,159.25936000000002,3344.44656
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062.6168,53.130840000000006,1115.74764
FDF09,12.857645184135976,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,24.235120000000002,508.93752
FDY40,12.857645184135976,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,7.39038,155.19798
FDY45,12.857645184135976,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,127.16780000000001,2670.5238000000004
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,184.4266,9.22133,193.64793
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,243.28332,5108.9497200000005
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Medium,Tier 2,Supermarket Type1,1118.544,55.927200000000006,1174.4712000000002
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302.3364,115.11682000000002,2417.4532200000003
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,101.36805000000001,2128.72905
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,171.7764,3607.3044
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,29.961000000000002,629.181
FDH35,18.25,Low Fat,0.06613202877895108,Starchy Foods,164.7526,OUT045,2002,Medium,Tier 2,Supermarket Type1,4604.6728,230.23364000000004,4834.906440000001
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Medium,Tier 2,Supermarket Type1,2285.0256,114.25128000000001,2399.27688
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,279.03678,5859.77238
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,114.5176,2404.8696
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,60.35477,1267.4501699999998
FDN48,12.857645184135976,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,32.158139999999996,675.32094
FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1587.933,79.39665000000001,1667.32965
FDV25,5.905,Low Fat,0.06613202877895108,Canned,222.5456,OUT045,2002,Medium,Tier 2,Supermarket Type1,5305.0944,265.25472,5570.34912
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,84.8895,1782.6795
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,71.37376,1498.84896
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,234.69450000000003,4928.5845
NCL18,12.857645184135976,Low Fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,29.162040000000005,612.4028400000001
FDR12,12.857645184135976,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,154.59876,3246.5739599999997
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479.4392,123.97196,2603.4111599999997
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,135.8232,2852.2871999999998
FDQ49,12.857645184135976,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,164.28615000000002,3450.00915
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,33.09026,694.89546
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,76.16752000000001,1599.51792
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Medium,Tier 3,Grocery Store,369.519,18.47595,387.99495
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,34.521730000000005,724.9563300000001
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381.535,69.07675,1450.61175
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,31.126150000000003,653.6491500000001
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,63.717060000000004,1338.05826
FDU04,12.857645184135976,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,24.36828,511.73388
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,61.5865,1293.3165
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,187.75560000000002,3942.8676
NCP18,12.857645184135976,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,218.18266,4581.83586
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,65.71446,1380.0036599999999
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Medium,Tier 2,Supermarket Type1,1805.6496,90.28248,1895.93208
FDD10,12.857645184135976,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,142.74752,2997.69792
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,194.81308,4091.0746799999997
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,33.38987,701.18727
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,159.29265,3345.14565
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,112.38704000000001,2360.12784
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,89.71655,1884.04755
FDG12,6.635,Regular,0.06613202877895108,Baking Goods,121.3098,OUT045,2002,Medium,Tier 2,Supermarket Type1,2530.7058,126.53529000000002,2657.24109
DRE60,12.857645184135976,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116,33.9558,713.0717999999999
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,40.6138,852.8897999999999
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,34.9545,734.0445000000001
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Medium,Tier 2,Supermarket Type1,2732.4432,136.62216,2869.06536
FDW39,12.857645184135976,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,8.821850000000001,185.25885000000002
FDX34,12.857645184135976,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,204.86666000000002,4302.19986
FDV11,9.1,Regular,0.06613202877895108,Breads,173.2054,OUT045,2002,Medium,Tier 2,Supermarket Type1,3151.8972,157.59486,3309.49206
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,297.11325000000005,6239.378250000001
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,4843.695,242.18475,5085.87975
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,127.10122,2669.12562
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Medium,Tier 2,Supermarket Type1,2552.6772,127.63386000000001,2680.31106
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,57.09235,1198.9393499999999
NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,680.4476,34.02238,714.46998
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,2085.9514,104.29757000000001,2190.24897
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Medium,Tier 3,Grocery Store,186.424,9.321200000000001,195.7452
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,151.8024,3187.8504
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,2007,Medium,Tier 2,Supermarket Type1,866.8716,43.34358,910.2151799999999
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869,43.443450000000006,912.31245
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,56.859320000000004,1194.04572
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Medium,Tier 2,Supermarket Type1,928.1252,46.40626,974.5314599999999
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,38.11705,800.45805
NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,2002,Medium,Tier 2,Supermarket Type1,707.0796,35.35398,742.43358
FDY25,12.857645184135976,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,398.41472,8366.70912
NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,71.9064,1510.0344
NCR53,12.857645184135976,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,348.81262000000004,7325.06502
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Medium,Tier 3,Grocery Store,101.2016,5.06008,106.26168
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094,47.60470000000001,999.6987
NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,98.47182000000001,2067.9082200000003
FDH35,12.857645184135976,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,263.12416,5525.60736
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314.2892,65.71446,1380.0036599999999
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,535.3032,26.765159999999998,562.06836
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998,Medium,Tier 3,Grocery Store,263.6568,13.182839999999999,276.83964
NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,70.10874,1472.28354
NCX54,9.195,Low Fat,0.048331717,Household,105.1622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1693.7952,84.68976,1778.48496
NCO55,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,2002,Medium,Tier 2,Supermarket Type1,2143.876,107.19380000000001,2251.0698
NCC30,16.6,Low Fat,0.027622076,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516,133.82580000000002,2810.3418
FDI16,14.0,Regular,0.06613202877895108,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,45.27440000000001,950.7624000000001
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,368.5203,7738.9263
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,315.05656,6616.18776
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,79.89600000000002,1677.816
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,26.465550000000004,555.77655
NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,98.47182000000001,2067.9082200000003
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Medium,Tier 2,Supermarket Type1,1034.6532,51.73266,1086.3858599999999
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331,89.71655,1884.04755
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,138.41982000000002,2906.81622
DRK12,12.857645184135976,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83,44.941500000000005,943.7715000000001
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,158.46040000000002,3327.6684
NCI18,18.35,Low Fat,0.014081156,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,179.49968,3769.4932799999997
FDB36,5.465,Regular,0.06613202877895108,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,13.11626,275.44146
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,1910.1802,95.50901,2005.68921
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701.7848,85.08924,1786.87404
FDQ28,14.0,Regular,0.060376776,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,123.57248,2595.0220799999997
FDM22,14.0,Regular,0.04192285,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,66.58,1398.1799999999998
FDR07,12.857645184135976,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786,90.44893,1899.42753
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,165.78420000000003,3481.4682000000003
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,130.92956999999998,2749.5209699999996
FDW51,6.155,Regular,0.094659871,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,138.4864,2908.2144
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Medium,Tier 2,Supermarket Type1,5375.0034,268.75016999999997,5643.75357
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,Medium,Tier 2,Supermarket Type1,2838.9712,141.94856000000001,2980.9197599999998
FDL50,12.15,Regular,0.042485444,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,87.15322,1830.21762
NCB30,12.857645184135976,Low Fat,0.025578526,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352,277.77176000000003,5833.2069599999995
FDW11,12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194,30.959699999999998,650.1537
NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573,106.02865,2226.60165
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,2007,Medium,Tier 2,Supermarket Type1,3823.0236,191.15118,4014.17478
FDM15,11.8,Regular,0.057373797,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,68.01147,1428.2408699999999
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,198.47498000000002,4167.97458
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,Medium,Tier 3,Grocery Store,345.5502,17.277510000000003,362.82771
FDR47,17.85,Low Fat,0.06613202877895108,Breads,196.5794,OUT010,1998,Medium,Tier 3,Grocery Store,585.2382,29.26191,614.50011
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,2002,Medium,Tier 2,Supermarket Type1,1010.6844,50.534220000000005,1061.21862
NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,1998,Medium,Tier 3,Grocery Store,161.1236,8.056180000000001,169.17978000000002
